id,layer_1,layer_2,layer_3,layer_4
0,255.81761169433594,237.77859497070312,129.3773956298828,83.20767211914062
1,154.3201904296875,132.3162078857422,243.2007293701172,102.34397888183594
2,145.7724151611328,174.3365478515625,277.6880798339844,166.2093505859375
3,96.45785522460938,237.2145233154297,196.13291931152344,76.36175537109375
4,278.44439697265625,301.51495361328125,248.2623291015625,271.3002014160156
5,103.75933074951172,223.01950073242188,273.1627502441406,213.7600555419922
6,148.3505401611328,13.70931339263916,155.52969360351562,188.0721435546875
7,279.2222595214844,277.53765869140625,163.4297332763672,267.56463623046875
8,92.24793243408203,210.9190216064453,206.55230712890625,12.749743461608887
9,221.351806640625,128.2012939453125,252.49513244628906,205.96945190429688
10,17.65432357788086,148.9172821044922,265.2069396972656,72.25755310058594
11,105.94746398925781,261.48583984375,66.54292297363281,179.85057067871094
12,77.82828521728516,274.2976989746094,247.12612915039062,141.4586181640625
13,42.61389923095703,105.06236267089844,155.3795928955078,276.0592346191406
14,31.03947639465332,178.75563049316406,221.94261169433594,159.77059936523438
15,244.88522338867188,155.27806091308594,282.6692810058594,191.0878143310547
16,180.74649047851562,143.69020080566406,184.50531005859375,120.26325988769531
17,174.27182006835938,111.8987808227539,59.27091598510742,64.90787506103516
18,196.58665466308594,202.2105255126953,138.67767333984375,34.085174560546875
19,233.63186645507812,257.3033752441406,274.5111083984375,254.7213592529297
20,277.1734924316406,277.2902526855469,158.65895080566406,120.41578674316406
21,208.2379913330078,92.61424255371094,246.05555725097656,252.11293029785156
22,267.46185302734375,172.52684020996094,294.7233581542969,177.83750915527344
23,131.86651611328125,197.67112731933594,294.4643859863281,276.76263427734375
24,236.2749481201172,27.308652877807617,190.31639099121094,149.2736358642578
25,194.8340606689453,249.25123596191406,72.43877410888672,222.5289306640625
26,40.9900016784668,61.77622985839844,254.72262573242188,107.82022094726562
27,242.23245239257812,54.699989318847656,39.995418548583984,219.48043823242188
28,22.205310821533203,181.7725830078125,276.1400451660156,163.21629333496094
29,208.0922088623047,45.290992736816406,179.36517333984375,185.476318359375
30,182.34193420410156,127.1082763671875,111.51380157470703,299.4454040527344
31,11.130756378173828,19.45823860168457,305.17535400390625,70.43035888671875
32,40.056396484375,82.83131408691406,235.58120727539062,273.60693359375
33,19.95615577697754,139.13197326660156,39.75863265991211,62.019588470458984
34,71.31058502197266,211.60986328125,104.71826171875,58.31220245361328
35,161.27691650390625,22.597368240356445,46.28644943237305,284.8856201171875
36,65.24239349365234,120.49846649169922,224.7892608642578,243.3734893798828
37,274.8274230957031,53.28927993774414,204.07887268066406,284.1092834472656
38,38.699520111083984,217.9047393798828,248.5770263671875,110.40457153320312
39,79.90003967285156,178.1929931640625,137.0589141845703,92.31069946289062
40,142.14280700683594,135.3206329345703,172.13412475585938,152.9669189453125
41,105.8023910522461,101.12088012695312,253.3851318359375,81.73653411865234
42,175.84193420410156,20.315217971801758,221.2818603515625,107.49378204345703
43,32.04647445678711,95.17213439941406,69.97122192382812,286.4085693359375
44,116.81659698486328,92.74241638183594,120.7551040649414,284.09033203125
45,198.50999450683594,188.3074188232422,225.18251037597656,122.11353302001953
46,132.7985382080078,198.90037536621094,2.238250494003296,69.02057647705078
47,108.63370513916016,83.75250244140625,195.59848022460938,121.13337707519531
48,264.8662414550781,172.287109375,129.9173126220703,128.70751953125
49,193.72665405273438,169.6325225830078,213.5601806640625,24.635055541992188
50,137.5149688720703,86.98072814941406,50.58496856689453,163.8612823486328
51,153.85830688476562,169.80587768554688,227.4658966064453,265.2281494140625
52,153.01478576660156,107.74384307861328,145.83154296875,236.18524169921875
53,264.4462890625,239.46188354492188,68.50499725341797,310.73663330078125
54,187.7868194580078,33.76088333129883,224.95550537109375,299.451171875
55,127.95868682861328,179.88365173339844,107.76624298095703,81.3429183959961
56,232.52748107910156,-9.491438865661621,261.3791198730469,161.13706970214844
57,40.12565612792969,53.097965240478516,201.0966796875,255.88534545898438
58,95.70735931396484,285.7181701660156,44.056251525878906,260.1429138183594
59,107.59141540527344,62.01963806152344,90.36600494384766,135.9691619873047
60,240.25827026367188,255.4617462158203,53.82435607910156,159.75570678710938
61,196.42030334472656,118.38583374023438,261.71923828125,91.95970916748047
62,11.637035369873047,9.746232986450195,220.43467712402344,172.58389282226562
63,279.2513122558594,274.32373046875,267.2220153808594,35.857215881347656
64,237.02369689941406,207.16627502441406,198.5829315185547,218.61143493652344
65,275.8605651855469,195.98861694335938,118.90634155273438,174.8651580810547
66,75.16744232177734,83.4184799194336,32.62523651123047,79.6327896118164
67,105.97576904296875,242.05262756347656,219.47509765625,108.53629302978516
